id	title	year	RQs	score	reason	rqs_llm	llm_explanation	llm_response	llm_reasoning	llm_status
alan_improving_2025	Improving {LLM}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías					
alan_rag-based_2025	A {RAG}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías					
ateia_bioragent_2025	{BioRAGent}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías					
bian_empowering_2025	Empowering {IETF}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías					
cerqueira_mapping_2025	Mapping trustworthiness in large language models: {A}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías					
chakraborty_scalable_2025	A scalable framework for evaluating multiple language models through cross-domain generation and hallucination detection	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías					
dangsungnoen_opg-spell_2025	{OPG}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías					
deng_cram_2025	{CrAM}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías					
ding_citations_2025	Citations and trust in llm generated responses	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías					
du_knowledge-augmented_2025	Knowledge-{Augmented}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías					
fan_why_2025	Why {Did}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías					
fink_retrieval-augmented_2025	Retrieval-augmented generation improves precision and trust of a {GPT}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías					
godwin_hybrid_2025	A {Hybrid}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías					
hiriyanna_multi-layered_2025	Multi-{Layered}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías					
huang_foodpuzzle_2025	{FoodPuzzle}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías					
islayem_using_2025	Using large language models for enhanced fraud analysis and detection in blockchain based health insurance claims	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías					
iyenghar_empirical_2025	Empirical {Evaluation}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías					
kaufmes_evaluating_2025	Evaluating {Medium}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías					
kim_notitle_2025		2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías					
lee_memory-augmented_2025	Memory-{Augmented}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías	RQ4	El estudio evalúa calidad con BERTScore, LLM-as-Judge y estudio de usuarios, pero no aborda confianza, errores ni explicabilidad.	"{""rqs"":""RQ4"",""explanation"":""El estudio evalúa calidad con BERTScore, LLM-as-Judge y estudio de usuarios, pero no aborda confianza, errores ni explicabilidad.""}"	"We need to decide which RQs are explicitly addressed by the work. The abstract describes a memory-augmented LLM framework for LMS chatbots. It mentions retrieval-augmented generation, retrieval of semantically relevant entries, filtering, LLM generation, memory for multi-turn, evaluation: BERTScore, LLM-as-Judge, user study under multi-turn scenarios. They evaluate response quality: consistency, clarity, usefulness. They mention ""response quality"" but not trust or credibility explicitly. They mention ""user study"" but not trust metrics. They mention ""factuality"" maybe? They mention ""retrieved entries"" and ""semantic validation"" to reduce hallucinations? They evaluate with BERTScore and LLM-as-Judge for semantic assessment. They don't mention explicit trust or hallucination metrics. They mention ""user study"" but not trust. They mention ""explainability"" maybe not. They mention ""confidence filtering"" but not explanation. So likely RQ2? They talk about reducing hallucinations? They mention ""retrieved entries are then filtered through a two-stage confidence filtering process that combines similarity thresholds and LLM-based semantic validation."" That could reduce hallucinations. But they don't explicitly evaluate hallucinations. They evaluate response quality via BERTScore and LLM-as-Judge. That might be about factuality. So RQ2 might be partially addressed. RQ1: trust? Not explicitly. RQ3: XAI? They don't mention attribution or citations. RQ4: methods and metrics? They mention evaluation methods: BERTScore, LLM-as-Judge, user study. So RQ4 is addressed. So answer: RQ2,RQ4? But RQ2 is not explicitly about hallucinations; they didn't measure hallucinations. They just mention filtering. But the question: ""To what extent does RAG reduce errors and hallucinations and improve factuality/faithfulness compared to non-RAG LLMs?"" They didn't compare to non-RAG LLMs. So RQ2 not covered. So only RQ4. So output: {""rqs"":""RQ4"",""explanation"":""El estudio evalúa calidad con BERTScore, LLM-as-Judge y estudio de usuarios, pero no aborda confianza, errores ni explicabilidad.""} Ensure Spanish explanation <60 words. Count: ""El estudio evalúa calidad con BERTScore, LLM-as-Judge y estudio de usuarios, pero no aborda confianza, errores ni explicabilidad."" That's 20 words. Good."	ok
