id	title	year	RQs	score	reason
antic_notitle_2024		2024	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
ariza-casabona_comparative_2024	A {Comparative} {Analysis} of {Text}-{Based} {Explainable} {Recommender} {Systems}	2024	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
brachman_building_2025	Building {Appropriate} {Mental} {Models}: {What} {Users} {Know} and {Want} to {Know} about an {Agentic} {AI} {Chatbot}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
chan_optimizing_2025	Optimizing {Confidence} {Scoring} in {RAG}-{Based} {LLM} {Chatbots} for {Technical} {Support} {Services}: {A} {Prompt} {Engineering} {Approach}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
cheng_intelligent_2025	Intelligent {Retrieval} and {Knowledge} {Question}-{Answering} {System} for {Semi}-{Structured} {Operational} {Manuals}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
dangsungnoen_opg-spell_2025	{OPG}-{SPELL}: {Visual} and {Textual} {Explanations} {That} {Influence} {Understanding} of the {AI} {Model} for {Sex} {Prediction} {From} {Orthopantomograms}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
di_enhancing_2025	Enhancing {Code} {Generation} via {Bidirectional} {Comment}-{Level} {Mutual} {Grounding}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
egersdoerfer_ioagent_2025	{IOAgent}: {Democratizing} {Trustworthy} {HPC} {I}/{O} {Performance} {Diagnosis} {Capability} via {LLMs}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
feng_response_2025	Response {Quality} {Assessment} for {Retrieval}-{Augmented} {Generation} via {Conditional} {Conformal} {Factuality}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
ganiyu_ai5gtest_2025	{AI5GTest}: {AI}-{Driven} {Specification}-{Aware} {Automated} {Testing} and {Validation} of {5G} {O}-{RAN} {Components}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
garima_harnessing_2024	Harnessing the {Power} of {Language} {Models} for {Intelligent} {Digital} {Health} {Services}	2024	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
gu_lens_2024	{LENS}: {Layers} of {Evaluation} of {Hallucination} in {GenAI} {Systems}	2024	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
he_can_2025	Can {RAG} {Calibrate} {LLMs} for {Information} {Extraction} {Tasks}?	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
ji_rela_2024	{RELA}: {An} {Online}-{Offline} {Framework} for {Rules} {Enhanced} {Logs} {Analysis} {Based} on {Large} {Language} {Models}	2024	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
kraft_knowledge-enhanced_2024	Knowledge-{Enhanced} {Language} {Models} {Are} {Not} {Bias}-{Proof}: {Situated} {Knowledge} and {Epistemic} {Injustice} in {AI}	2024	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
liang_retrieval-augmented_2025	Retrieval-{Augmented} {Multilingual} {Citation} {Generation}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
liu_comprehensive_2024	Comprehensive {Evaluation} of {AI} {Hallucination} and {Novel} {UV}-{Oriented} {Framework} toward {Safe} and {Trustworthy} {AI}	2024	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
liu_mask-based_2025	Mask-based {Membership} {Inference} {Attacks} for {Retrieval}-{Augmented} {Generation}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
mishra_daignostic-_2025	{dAIgnostic}- {Optimizing} {Diagnostic} {Process} with {Generative} {AI}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
panagoulias_lyricel_2025	{LYRICEL}: {Knowledge} {Graphs} {Combined} {With} {Large} {Language} {Models} and {Machine} {Learning} for {Cross}-{Cultural} {Analysis} of {Lyrics}—{The} {Case} of {Greek} {Songs}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
