removed_source,removed_path,removed_cite_key,removed_title,removed_year,removed_doi,removed_priority,kept_source,kept_path,kept_cite_key,kept_title,kept_year,kept_doi,kept_priority,reason,match_value,match_score
ACM,Búsqueda\ACM_2025_11_09.bib,10.1145/3627673.3679800,Time-Sensitve Retrieval-Augmented Generation for Question Answering,2024,10.1145/3627673.3679800,-1.85,SCOPUS,Búsqueda\SCOPUS_2025_11_09.bib,Wu20242544,Time-Sensitve Retrieval-Augmented Generation for Question Answering,2024,10.1145/3627673.3679800,-1.85,duplicate_by_doi,10.1145/3627673.3679800,1.0
SCOPUS,Búsqueda\SCOPUS_2025_11_09.bib,Reinhard2025,Fact or Fiction? Exploring Explanations to Identify Factual Confabulations in RAG-Based LLM Systems,2025,10.1145/3706599.3720249,-1.75,ACM,Búsqueda\ACM_2025_11_09.bib,10.1145/3706599.3720249,Fact or Fiction? Exploring Explanations to Identify Factual Confabulations in RAG-Based LLM Systems,2025,10.1145/3706599.3720249,-1.85,duplicate_by_doi,10.1145/3706599.3720249,1.0
SCOPUS,Búsqueda\SCOPUS_2025_11_09.bib,Esposito2024517,Beyond Words: On Large Language Models Actionability in Mission-Critical Risk Analysis,2024,10.1145/3674805.3695401,-1.7999999999999998,ACM,Búsqueda\ACM_2025_11_09.bib,10.1145/3674805.3695401,Beyond Words: On Large Language Models Actionability in Mission-Critical Risk Analysis,2024,10.1145/3674805.3695401,-1.85,duplicate_by_doi,10.1145/3674805.3695401,1.0
SCOPUS,Búsqueda\SCOPUS_2025_11_09.bib,Brachman2025247,Building Appropriate Mental Models: What Users Know and Want to Know about an Agentic AI Chatbot,2025,10.1145/3708359.3712071,-1.75,ACM,Búsqueda\ACM_2025_11_09.bib,10.1145/3708359.3712071,Building Appropriate Mental Models: What Users Know and Want to Know about an Agentic AI Chatbot,2025,10.1145/3708359.3712071,-1.85,duplicate_by_doi,10.1145/3708359.3712071,1.0
SCOPUS,Búsqueda\SCOPUS_2025_11_09.bib,Portaz2024380,Harmonizing Ethical Principles: Feedback Generation Approaches in Modeling Human Factors for Assisted Psychomotor Systems,2024,10.1145/3631700.3664900,-1.75,ACM,Búsqueda\ACM_2025_11_09.bib,10.1145/3631700.3664900,Harmonizing Ethical Principles: Feedback Generation Approaches in Modeling Human Factors for Assisted Psychomotor Systems,2024,10.1145/3631700.3664900,-1.85,duplicate_by_doi,10.1145/3631700.3664900,1.0
SCOPUS,Búsqueda\SCOPUS_2025_11_09.bib,He2025,Large Language Models for EDA: Future or Mirage?,2025,10.1145/3736167,-2.1500000000000004,ACM,Búsqueda\ACM_2025_11_09.bib,10.1145/3736167,Large Language Models for EDA: Future or Mirage?,2025,10.1145/3736167,-2.25,duplicate_by_doi,10.1145/3736167,1.0
SCOPUS,Búsqueda\SCOPUS_2025_11_09.bib,Ma2025,Towards Human-AI Deliberation: Design and Evaluation of LLM-Empowered Deliberative AI for AI-Assisted Decision-Making,2025,10.1145/3706598.3713423,-1.7,ACM,Búsqueda\ACM_2025_11_09.bib,10.1145/3706598.3713423,Towards Human-AI Deliberation: Design and Evaluation of LLM-Empowered Deliberative AI for AI-Assisted Decision-Making,2025,10.1145/3706598.3713423,-1.85,duplicate_by_doi,10.1145/3706598.3713423,1.0
SCOPUS,Búsqueda\SCOPUS_2025_11_09.bib,Clarke2025,Report on the 2nd Search Futures Workshop at ECIR 2025,2025,10.1145/3769733.3769742,-2.1500000000000004,ACM,Búsqueda\ACM_2025_11_09.bib,10.1145/3769733.3769742,Report on the 2nd Search Futures Workshop at ECIR 2025,2025,10.1145/3769733.3769742,-2.2,duplicate_by_doi,10.1145/3769733.3769742,1.0
SCOPUS,Búsqueda\SCOPUS_2025_11_09.bib,Lajewska20241040,Explainability for Transparent Conversational Information-Seeking,2024,10.1145/3626772.3657768,-1.7,ACM,Búsqueda\ACM_2025_11_09.bib,10.1145/3626772.3657768,Explainability for Transparent Conversational Information-Seeking,2024,10.1145/3626772.3657768,-1.85,duplicate_by_doi,10.1145/3626772.3657768,1.0
SCOPUS,Búsqueda\SCOPUS_2025_11_09.bib,Twitchell2025,Explaining Complex ML Models to Domain Experts Using LLM & Visualization: An Exploration in the French Breadmaking Industry,2025,10.1145/3706599.3706685,-1.75,ACM,Búsqueda\ACM_2025_11_09.bib,10.1145/3706599.3706685,Explaining Complex ML Models to Domain Experts Using LLM &amp; Visualization: An Exploration in the French Breadmaking Industry,2025,10.1145/3706599.3706685,-1.85,duplicate_by_doi,10.1145/3706599.3706685,1.0
